tempC1,tempC2,avg,area,angle,currentTime
46.00,44.19,45.09,1.00,90.00,1597073
46.25,44.25,45.25,1.00,90.00,1602810
46.25,44.31,45.28,1.00,90.00,1608548
46.25,44.38,45.31,1.00,90.00,1614285
46.50,44.44,45.47,1.00,90.00,1620023
46.25,44.50,45.38,1.00,90.00,1625760
46.50,44.56,45.53,1.00,90.00,1631498
46.75,44.63,45.69,1.00,90.00,1637235
46.75,44.69,45.72,1.00,90.00,1642973
46.75,44.75,45.75,1.00,90.00,1648710
46.75,44.81,45.78,1.00,90.00,1654447
46.75,44.88,45.81,1.00,90.00,1660184
46.75,44.94,45.84,1.00,90.00,1665922
46.75,45.00,45.88,1.00,90.00,1671659
47.00,45.06,46.03,1.00,90.00,1677396
47.00,45.13,46.06,1.00,90.00,1683134
47.25,45.19,46.22,1.00,90.00,1688871
47.25,45.25,46.25,1.00,90.00,1694609
47.25,45.31,46.28,1.00,90.00,1700346
47.00,45.38,46.19,1.00,90.00,1706084
47.50,45.44,46.47,1.00,90.00,1711820
47.25,45.50,46.38,1.00,90.00,1717558
47.50,45.56,46.53,1.00,90.00,1723295
47.50,45.63,46.56,1.00,90.00,1729033
47.25,45.63,46.44,1.00,90.00,1734770
47.75,45.69,46.72,1.00,90.00,1740508
47.75,45.75,46.75,1.00,90.00,1746244
47.75,45.81,46.78,1.00,90.00,1751982
47.75,45.81,46.78,1.00,90.00,1757719
47.75,45.88,46.81,1.00,90.00,1763457
47.75,45.94,46.84,1.00,90.00,1769194
47.75,46.00,46.88,1.00,90.00,1774931
48.00,46.06,47.03,1.00,90.00,1780668
48.00,46.13,47.06,1.00,90.00,1786405
48.25,46.19,47.22,1.00,90.00,1792143
48.25,46.25,47.25,1.00,90.00,1797880
48.25,46.31,47.28,1.00,90.00,1803618
48.50,46.38,47.44,1.00,90.00,1809354
48.25,46.38,47.31,1.00,90.00,1815092
48.50,46.44,47.47,1.00,90.00,1820829
48.50,46.50,47.50,1.00,90.00,1826567
48.50,46.56,47.53,1.00,90.00,1832303
48.50,46.69,47.59,1.00,90.00,1838041
48.50,46.69,47.59,1.00,90.00,1843778
48.75,46.75,47.75,1.00,90.00,1849516
48.75,46.81,47.78,1.00,90.00,1855253
48.75,46.88,47.81,1.00,90.00,1860989
48.75,46.88,47.81,1.00,90.00,1866727
49.00,46.94,47.97,1.00,90.00,1872464
49.00,47.00,48.00,1.00,90.00,1878202
49.00,47.06,48.03,1.00,90.00,1883938
49.00,47.13,48.06,1.00,90.00,1889676
49.25,47.19,48.22,1.00,90.00,1895413
49.00,47.25,48.13,1.00,90.00,1901150
49.00,47.31,48.16,1.00,90.00,1906887
49.25,47.38,48.31,1.00,90.00,1912625
49.25,47.44,48.34,1.00,90.00,1918362
49.25,47.50,48.38,1.00,90.00,1924099
49.25,47.50,48.38,1.00,90.00,1929836
49.50,47.56,48.53,1.00,90.00,1935574
49.25,47.63,48.44,1.00,90.00,1941310
49.50,47.69,48.59,1.00,90.00,1947047
49.75,47.75,48.75,1.00,90.00,1952785
49.50,47.75,48.63,1.00,90.00,1958521
49.25,47.81,48.53,1.00,90.00,1964259
49.75,47.88,48.81,1.00,90.00,1969996
49.75,47.94,48.84,1.00,90.00,1975734
49.75,47.94,48.84,1.00,90.00,1981470
49.75,48.00,48.88,1.00,90.00,1987208
50.00,48.06,49.03,1.00,90.00,1992944
50.00,48.06,49.03,1.00,90.00,1998682
50.00,48.13,49.06,1.00,90.00,2004419
50.25,48.19,49.22,1.00,90.00,2010156
50.25,48.25,49.25,1.00,90.00,2015893
50.25,48.25,49.25,1.00,90.00,2021630
50.00,48.31,49.16,1.00,90.00,2027367
50.25,48.38,49.31,1.00,90.00,2033104
50.25,48.44,49.34,1.00,90.00,2038841
50.25,48.44,49.34,1.00,90.00,2044578
50.25,48.50,49.38,1.00,90.00,2050316
50.25,48.56,49.41,1.00,90.00,2056052
50.25,48.56,49.41,1.00,90.00,2061790
50.50,48.63,49.56,1.00,90.00,2067527
50.50,48.69,49.59,1.00,90.00,2073264
50.75,48.75,49.75,1.00,90.00,2079001
50.75,48.75,49.75,1.00,90.00,2084738
50.50,48.81,49.66,1.00,90.00,2090475
50.75,48.88,49.81,1.00,90.00,2096212
50.75,48.94,49.84,1.00,90.00,2101949
51.00,49.00,50.00,1.00,89.92,2107686
50.75,49.00,49.88,1.00,90.00,2113423
51.00,49.06,50.03,0.97,88.34,2119160
51.00,49.13,50.06,0.93,86.74,2125080
51.00,49.19,50.09,0.90,85.01,2131000
51.00,49.19,50.09,0.89,84.79,2136905
51.00,49.25,50.13,0.85,82.96,2142643
51.00,49.31,50.16,0.82,81.06,2148591
51.25,49.38,50.31,0.64,72.47,2154540
51.00,49.44,50.22,0.73,76.74,2160818
51.00,49.50,50.25,0.68,74.50,2166917
51.25,49.50,50.38,0.54,67.11,2172891
51.25,49.56,50.41,0.49,64.43,2179087
51.25,49.63,50.44,0.43,61.55,2185084
51.25,49.69,50.47,0.38,58.51,2191105
51.00,49.69,50.34,0.49,64.51,2197126
51.00,49.75,50.38,0.44,61.73,2203264
51.00,49.75,50.38,0.42,60.71,2209242
50.75,49.75,50.25,0.53,66.83,2215093
50.75,49.81,50.28,0.49,64.35,2221231
51.00,49.81,50.41,0.34,56.22,2227186
51.00,49.81,50.41,0.32,55.11,2233408
51.00,49.81,50.41,0.30,53.90,2239254
51.00,49.81,50.41,0.28,52.68,2245142
50.75,49.81,50.28,0.39,59.21,2251030
50.75,49.81,50.28,0.38,58.35,2257225
50.50,49.81,50.16,0.50,64.85,2263077
50.50,49.81,50.16,0.49,64.36,2269273
50.75,49.75,50.25,0.38,58.47,2275079
50.50,49.75,50.13,0.50,65.10,2281244
50.75,49.75,50.25,0.36,57.39,2287440
50.75,49.75,50.25,0.35,56.74,2293679
50.75,49.69,50.22,0.37,57.92,2299487
50.75,49.69,50.22,0.36,57.28,2305375
50.75,49.69,50.22,0.35,56.65,2311184
50.75,49.69,50.22,0.34,56.02,2316992
50.50,49.69,50.09,0.46,62.83,2322797
50.50,49.63,50.06,0.48,64.30,2329008
50.50,49.63,50.06,0.48,64.11,2334885
50.50,49.63,50.06,0.48,63.94,2340622
50.75,49.63,50.19,0.34,56.40,2346359
50.50,49.56,50.03,0.50,65.11,2352598
50.50,49.56,50.03,0.50,64.95,2358846
50.50,49.50,50.00,0.53,66.62,2364582
50.50,49.50,50.00,0.53,66.60,2370503
50.50,49.50,50.00,0.53,66.60,2376240
50.50,49.50,50.00,0.53,66.60,2381977
50.50,49.50,50.00,0.53,66.60,2387714
50.50,49.50,50.00,0.53,66.60,2393451
50.50,49.50,50.00,0.53,66.60,2399187
50.50,49.44,49.97,0.56,68.33,2404925
50.50,49.44,49.97,0.56,68.39,2410830
50.75,49.44,50.09,0.43,61.42,2416567
50.75,49.44,50.09,0.43,61.23,2422777
50.50,49.44,49.97,0.56,68.05,2428540
50.50,49.38,49.94,0.59,69.78,2434751
50.75,49.38,50.06,0.46,62.95,2440656
50.75,49.38,50.06,0.46,62.85,2446867
50.75,49.38,50.06,0.45,62.68,2452604
50.75,49.38,50.06,0.45,62.51,2458341
50.75,49.38,50.06,0.45,62.34,2464078
50.75,49.38,50.06,0.45,62.17,2469816
50.50,49.38,49.94,0.57,69.02,2475553
50.75,49.38,50.06,0.44,62.10,2481763
50.75,49.31,50.03,0.48,63.79,2487945
50.75,49.38,50.06,0.44,61.90,2493851
50.50,49.31,49.91,0.60,70.49,2499799
50.75,49.31,50.03,0.47,63.71,2506077
50.75,49.38,50.06,0.44,61.90,2512244
50.75,49.31,50.03,0.47,63.54,2518193
50.50,49.31,49.91,0.60,70.39,2524098
50.50,49.31,49.91,0.60,70.57,2530309
50.75,49.31,50.03,0.48,63.88,2536046
50.75,49.31,50.03,0.48,63.86,2542214
50.75,49.31,50.03,0.47,63.78,2547951
50.75,49.31,50.03,0.47,63.69,2553688
50.50,49.31,49.91,0.60,70.55,2559425
50.75,49.31,50.03,0.48,63.79,2565636
50.75,49.31,50.03,0.48,63.78,2571846
50.50,49.25,49.88,0.64,72.31,2577583
50.50,49.31,49.91,0.61,70.87,2583861
50.75,49.31,50.03,0.48,64.21,2589780
50.75,49.25,50.00,0.52,65.96,2595949
50.75,49.31,50.03,0.48,64.18,2601854
50.75,49.25,50.00,0.51,65.87,2607760
50.75,49.25,50.00,0.51,65.86,2613665
50.50,49.25,49.88,0.65,72.69,2619402
50.75,49.31,50.03,0.49,64.36,2625612
50.75,49.31,50.03,0.49,64.36,2631847
50.75,49.25,50.00,0.52,66.04,2637585
50.75,49.31,50.03,0.48,64.26,2643490
50.75,49.31,50.03,0.48,64.20,2649396
51.00,49.31,50.16,0.35,56.76,2655133
50.75,49.25,50.00,0.51,65.53,2661328
50.50,49.31,49.91,0.61,70.61,2667577
50.75,49.25,50.00,0.51,65.64,2673711
50.75,49.31,50.03,0.48,63.93,2679800
50.50,49.31,49.91,0.61,70.79,2685707
50.75,49.31,50.03,0.48,64.04,2691916
50.75,49.25,50.00,0.51,65.79,2698085
50.75,49.25,50.00,0.51,65.78,2704005
50.75,49.25,50.00,0.51,65.78,2709741
50.75,49.25,50.00,0.51,65.78,2715479
50.75,49.25,50.00,0.51,65.78,2721215
50.75,49.25,50.00,0.51,65.78,2726952
50.75,49.25,50.00,0.51,65.78,2732690
50.75,49.25,50.00,0.51,65.78,2738426
50.75,49.31,50.03,0.48,64.01,2744164
51.00,49.25,50.13,0.38,58.47,2750069
50.75,49.31,50.03,0.47,63.66,2756219
50.75,49.25,50.00,0.50,65.30,2762353
50.75,49.31,50.03,0.47,63.51,2768259
50.75,49.31,50.03,0.47,63.44,2774207
50.75,49.31,50.03,0.47,63.36,2779943
50.75,49.31,50.03,0.47,63.27,2785681
50.75,49.25,50.00,0.50,64.96,2791418
50.75,49.31,50.03,0.46,63.17,2797324
50.50,49.31,49.91,0.60,70.07,2803229
50.75,49.25,50.00,0.50,65.06,2809440
50.75,49.31,50.03,0.47,63.34,2815572
