tempC1,tempC2,avg,currentTime
76.25,72.56,74.41,2057542
76.00,72.62,74.31,2063278
76.25,72.69,74.47,2069012
76.25,72.81,74.53,2074747
76.25,72.87,74.56,2080482
76.25,72.94,74.59,2086217
76.50,73.00,74.75,2091952
76.50,73.06,74.78,2097687
76.50,73.19,74.84,2103421
76.75,73.25,75.00,2109156
76.50,73.31,74.91,2114891
76.50,73.37,74.94,2120626
76.75,73.44,75.09,2126361
76.75,73.50,75.12,2132096
77.00,73.62,75.31,2137831
77.00,73.69,75.34,2143565
77.00,73.75,75.37,2149301
77.25,73.81,75.53,2155035
77.25,73.87,75.56,2160771
77.50,73.94,75.72,2166505
77.25,74.00,75.62,2172240
77.50,74.06,75.78,2177975
77.50,74.12,75.81,2183710
77.50,74.25,75.87,2189445
77.75,74.31,76.03,2195179
77.50,74.31,75.91,2200914
77.75,74.44,76.09,2206649
77.75,74.50,76.12,2212384
77.75,74.56,76.16,2218119
78.00,74.69,76.34,2223854
78.00,74.75,76.37,2229588
78.25,74.81,76.53,2235323
78.25,74.87,76.56,2241058
78.25,75.00,76.62,2246793
78.25,75.06,76.66,2252528
78.25,75.12,76.69,2258263
78.50,75.19,76.84,2263997
78.50,75.25,76.87,2269732
78.50,75.31,76.91,2275467
78.75,75.37,77.06,2281202
78.75,75.44,77.09,2286937
78.75,75.50,77.12,2292671
79.00,75.56,77.28,2298406
79.00,75.62,77.31,2304141
79.00,75.69,77.34,2309876
79.25,75.75,77.50,2315611
79.25,75.81,77.53,2321346
79.25,75.81,77.53,2327080
79.25,75.94,77.59,2332815
79.25,75.94,77.59,2338550
79.25,76.06,77.66,2344285
79.50,76.12,77.81,2350019
79.50,76.12,77.81,2355755
79.50,76.25,77.87,2361489
79.75,76.31,78.03,2367223
79.75,76.37,78.06,2372959
79.75,76.44,78.09,2378693
80.00,76.50,78.25,2384428
80.00,76.62,78.31,2390163
80.00,76.69,78.34,2395897
80.00,76.75,78.37,2401632
80.00,76.75,78.37,2407367
80.25,76.81,78.53,2413102
80.25,76.87,78.56,2418836
80.25,76.94,78.59,2424571
80.25,77.00,78.62,2430306
80.25,77.06,78.66,2436040
80.25,77.06,78.66,2441776
80.25,77.12,78.69,2447510
80.25,77.19,78.72,2453244
80.50,77.19,78.84,2458980
80.50,77.25,78.87,2464714
80.50,77.31,78.91,2470449
80.50,77.37,78.94,2476184
80.75,77.44,79.09,2481918
80.75,77.44,79.09,2487653
81.00,77.50,79.25,2493388
81.00,77.62,79.31,2499123
81.00,77.62,79.31,2504857
81.25,77.69,79.47,2510593
81.00,77.75,79.37,2516327
81.25,77.81,79.53,2522061
81.50,77.87,79.69,2527797
81.25,77.94,79.59,2533531
81.25,78.00,79.62,2539266
81.25,78.06,79.66,2545000
81.50,78.12,79.81,2550735
81.25,78.19,79.72,2556470
81.50,78.25,79.87,2562204
81.50,78.31,79.91,2567940
81.50,78.37,79.94,2573674
81.75,78.44,80.09,2579408
81.75,78.50,80.12,2585143
82.00,78.56,80.28,2590878
81.75,78.62,80.19,2596613
82.00,78.69,80.34,2602347
82.00,78.75,80.37,2608081
82.00,78.81,80.41,2613817
82.25,78.87,80.56,2619551
82.50,78.94,80.72,2625286
82.50,79.00,80.75,2631021
82.50,79.06,80.78,2636755
82.50,79.12,80.81,2642490
82.50,79.19,80.84,2648224
82.50,79.25,80.87,2653960
82.25,79.25,80.75,2659694
82.50,79.31,80.91,2665428
82.50,79.37,80.94,2671163
82.50,79.44,80.97,2676898
82.75,79.50,81.12,2682633
82.75,79.56,81.16,2688367
82.75,79.62,81.19,2694103
82.75,79.69,81.22,2699837
82.75,79.69,81.22,2705571
82.75,79.75,81.25,2711306
82.75,79.81,81.28,2717041
83.00,79.87,81.44,2722776
82.75,79.87,81.31,2728510
83.00,79.94,81.47,2734244
83.25,80.00,81.62,2739980
83.00,80.06,81.53,2745714
83.00,80.06,81.53,2751449
82.25,80.12,81.19,2757183
